PREC_ID,PREC_NAME,DEM,REP,OTHER,W,B,I,M,O,P,U,A
11,MEAT CAMP,519,857,915,2071,20,4,4,16,0,172,4
07,BRUSHY FORK,1113,945,1880,3202,84,4,45,66,0,510,27
06,BOONE 2,885,473,1571,2193,84,14,87,73,1,436,41
20,BEECH MOUNTAIN,102,246,221,500,1,0,2,2,0,64,0
15,NEW RIVER III,1111,980,1697,3154,77,1,39,64,0,406,47
05,BOONE 1,664,233,889,1428,73,4,20,24,0,228,9
03,BLOWING ROCK,696,974,1013,2416,14,4,11,28,0,201,9
14,NEW RIVER II,956,858,1530,2724,81,3,48,49,0,416,23
18,STONY FORK,328,818,643,1613,10,0,9,7,0,145,5
12,BOONE 3,944,500,1538,2121,196,7,99,106,2,398,53
04,BLUE RIDGE,886,1294,1437,3214,32,5,13,41,0,279,33
10,LAUREL CREEK,251,408,417,978,5,0,4,6,0,83,0
19,WATAUGA,711,1121,1318,2797,27,1,13,40,0,263,9
13,NEW RIVER I,991,660,1540,2490,86,4,34,63,0,482,32
08,COVE CREEK,509,894,829,2070,5,4,7,14,0,126,6
17,SHAWNEEHAW,156,253,239,588,4,2,2,4,0,46,2
01,BALD MOUNTAIN,129,205,176,457,2,0,1,5,0,45,0
02,BEAVER DAM,220,437,373,956,4,0,2,6,0,62,0
16,NORTH FORK,23,79,62,155,0,0,1,1,0,7,0
09,ELK,102,228,257,545,2,0,1,3,0,36,0
2530,2530,1612,942,781,1610,1344,7,8,105,0,256,5
11,11,1295,619,622,1036,1139,4,10,87,0,214,46
1920,1920,2145,191,758,308,2358,3,27,67,0,325,6
112,MORAVIAN FALLS,319,1092,607,1749,52,2,11,37,0,160,7
109,FERGUSON,195,402,174,661,46,1,3,7,0,51,2
117,NEW CASTLE,193,671,269,988,44,2,0,10,0,89,0
119,REDDIES RIVER,622,2111,1124,3469,13,4,9,39,0,319,4
129,WILKESBORO #3,426,1020,481,1633,97,3,9,34,0,144,7
122,SOMERS,48,534,141,663,2,1,2,1,0,54,0
101,ANTIOCH,136,350,200,608,31,0,2,1,0,44,0
108,FAIRPLAINS,377,622,477,1118,181,0,9,45,0,123,0
107,EDWARDS #3,417,1567,635,2313,10,2,5,23,0,266,0
115A,MULBERRY,501,2121,957,3223,38,2,11,32,0,269,4
127,WILKESBORO #1,583,929,585,1674,174,4,8,40,0,169,28
123,TRAPHILL #1,97,530,187,732,11,1,5,4,0,61,0
121,ROCK CREEK #2,303,1058,569,1710,40,1,3,18,0,157,1
111,MILLERS CREEK,324,995,553,1675,15,0,6,17,0,152,7
102,BOOMER,309,742,463,1228,135,2,4,14,0,126,5
128,WILKESBORO #2,519,1326,655,1991,240,5,9,37,0,215,3
103,BRUSHY MOUNTAIN,67,271,150,450,3,0,0,4,0,31,0
120,ROCK CREEK #1,243,1015,445,1562,8,1,3,13,0,116,0
114,MULBERRY #1,87,371,208,613,1,1,2,6,0,42,1
124,TRAPHILL #2,157,746,356,1124,4,2,1,9,0,119,0
113A,MOUNT PLEASANT,381,1066,569,1857,4,3,2,7,0,141,2
126,WALNUT GROVE,78,490,177,677,1,0,2,6,0,59,0
118,NORTH WILKESBORO,676,853,739,1740,248,6,16,56,0,196,6
106,EDWARDS #2,176,478,205,729,58,1,0,5,0,63,3
104,CRICKET,304,853,515,1445,37,2,7,39,0,135,7
105,EDWARDS #1,157,673,307,1005,24,3,1,8,0,95,1
125,UNION,119,438,202,684,5,0,0,3,0,66,1
PRSA,SARATOGA,545,233,256,506,405,3,3,26,0,91,0
PRWD,WILSON D,582,579,565,1351,221,5,4,22,0,122,1
PRTA,TAYLORS,2738,1921,1918,3669,2021,10,27,197,0,591,62
PRSP,SPRING HILL,660,756,615,1374,395,2,9,57,0,192,2
PRWM,WILSON M,1983,1077,1252,2187,1649,3,16,96,0,324,37
PRWN,WILSON N,1913,118,401,149,2056,5,8,47,0,162,5
PRWP,WILSON P,629,554,497,1117,362,8,2,61,0,103,27
PRWC,WILSON C,1280,110,291,195,1320,3,6,45,0,109,3
PROL,OLDFIELDS,1153,1469,1195,2762,522,6,18,119,0,383,7
PRWL,WILSON L,1069,680,707,1369,803,0,8,59,0,191,26
PRWA,WILSON A,663,92,301,220,644,4,6,45,0,135,2
PRWK,WILSON K,562,502,462,1098,291,0,2,27,0,101,7
PRBL,BLACK CREEK,774,1027,810,1910,414,5,10,57,0,210,5
PRWB,WILSON B,873,70,244,101,952,1,5,36,0,91,1
PRTO,TOISNOT,1669,1060,958,1964,1382,10,5,45,0,275,6
PRWI,WILSON I,1132,283,426,508,1095,3,8,59,0,160,8
PRWJ,WILSON J,1961,791,886,1633,1591,9,8,88,0,278,31
PRGA,GARDNERS,1020,636,621,1148,821,3,12,82,0,208,3
PRCR,CROSSROADS,791,899,718,1632,472,7,5,57,0,232,3
PRWE,WILSON E,914,193,375,422,898,2,9,49,0,102,0
PRWQ,WILSON Q,522,27,113,15,567,0,1,21,0,57,1
PRWR,WILSON R,1270,115,389,184,1330,4,9,46,0,199,2
PRST,STANTONSBURG,626,341,352,645,519,6,5,33,0,109,2
PRWH,WILSON H,710,33,158,23,797,1,1,23,0,56,0
SFAL,SOUTH FALL CREEK,207,1014,423,1471,27,2,2,29,0,113,0
EBND,EAST BEND,296,1273,688,1919,30,3,4,32,0,262,7
FBSH,FORBUSH,393,1743,802,2548,67,2,3,43,0,271,4
SBCK,SOUTH BUCK SHOALS,107,474,223,727,5,1,2,11,0,58,0
DCRK,DEEP CREEK,261,1003,615,1599,27,2,5,70,0,169,7
NBCK,NORTH BUCK SHOALS,168,841,331,1136,17,3,3,37,0,138,6
BNVL,BOONVILLE,416,1593,795,2388,114,1,2,40,0,256,3
NLIB,NORTH LIBERTY,536,1890,1121,2971,138,4,8,136,0,283,7
NKNB,NORTH KNOBS,504,1506,767,2221,211,6,8,55,0,272,4
SLIB,SOUTH LIBERTY,251,1231,579,1826,49,2,1,29,0,152,2
NFAL,NORTH FALL CREEK,116,622,308,945,18,0,0,7,0,75,1
SKNB,SOUTH KNOBS,108,731,315,1047,5,2,6,11,0,82,1
04 RAM,RAMSEYTOWN,85,127,124,298,0,2,1,0,0,34,1
01 BUR,BURNSVILLE,1089,1150,1058,2922,58,5,7,21,0,272,12
08 CRA,CRABTREE,724,1023,713,2285,2,2,5,8,0,156,2
07 BRU,BRUSH CREEK,122,128,148,352,0,1,1,3,0,41,0
09 SOU,SOUTH TOE,663,652,569,1700,2,3,5,9,0,163,2
11 PRI,PRICES CREEK,288,550,369,1107,1,2,2,2,0,91,2
03 EGY,EGYPT,161,192,192,492,0,1,3,2,0,47,0
02 CAN,CANE RIVER,394,544,504,1289,2,0,2,5,0,140,4
06 JAC,JACKS CREEK,512,492,437,1304,8,3,1,9,0,115,1
10 PEN,PENSACOLA,134,221,196,506,1,0,2,3,0,38,1
05 GRE,GREEN MOUNTAIN,156,178,118,425,0,1,1,0,0,24,1
