PREC_ID,PREC_NAME,DEM,REP,OTHER,W,B,I,M,O,P,U,A
44.1,44.1,1876,1576,2244,4709,139,6,29,116,1,643,53
71.1,71.1,1466,947,1458,3358,37,5,14,66,0,361,30
01.1,01.1,1278,189,894,1595,376,6,24,50,0,297,13
18.2,18.2,1764,1277,2332,4346,156,9,23,124,0,628,87
54.2,54.2,1353,998,1739,2757,491,10,30,144,1,613,44
69.1,69.1,1000,953,1252,2690,95,6,13,75,1,311,14
13.1,13.1,1242,169,1031,1787,265,3,20,52,0,304,11
43.2,43.2,640,376,778,1323,147,1,16,76,0,221,10
14.3,14.3,614,201,679,1060,149,3,13,44,0,209,16
29.2,29.2,1258,651,1269,2491,183,5,15,59,0,406,19
36.1,36.1,648,567,799,1746,38,6,7,26,1,182,8
16.2,16.2,1554,301,1249,2361,186,7,35,97,0,392,26
10.1,10.1,948,72,454,640,639,4,13,33,0,139,6
60.4,60.4,555,375,589,1327,18,0,3,30,0,133,8
05.1,05.1,1269,362,1038,2386,27,3,15,35,1,186,16
55.1,55.1,982,955,1268,2610,161,5,15,60,1,323,30
22.2,22.2,1151,318,886,2105,22,2,10,30,1,171,14
06.1,06.1,735,201,542,1195,74,3,19,43,0,139,5
45.1,45.1,1324,1166,1629,3436,124,6,23,76,0,442,12
32.1,32.1,661,651,819,1879,40,4,10,29,0,162,7
38.2,38.2,428,686,780,1646,11,0,10,25,1,189,12
59.1,59.1,1363,1063,1524,3534,51,8,11,51,0,278,17
39.3,39.3,804,821,1102,2392,22,3,9,38,0,256,7
47.1,47.1,1065,1531,1719,3783,31,6,7,54,0,426,8
67.1,67.1,1002,562,896,2202,33,3,7,27,0,181,7
08.2,08.2,1366,359,1095,1702,631,10,30,74,2,351,20
11.1,11.1,934,142,792,1148,366,16,27,33,0,273,5
64.1,64.1,640,571,840,1694,108,3,11,33,0,189,13
39.2,39.2,507,443,677,1407,19,2,12,34,0,149,4
09.1,09.1,1839,585,1732,2983,425,8,31,106,0,568,35
28.1,28.1,1183,134,1069,1778,85,5,36,53,2,399,28
27.2,27.2,386,90,354,751,4,1,3,14,0,55,2
66.1,66.1,727,429,660,1480,73,3,20,42,0,190,8
37.1,37.1,392,456,671,1342,3,0,6,20,0,144,4
26.1,26.1,899,236,873,1547,97,5,24,50,0,271,14
20.1,20.1,560,116,473,849,111,4,12,24,1,136,12
15.1,15.1,1131,208,953,1928,40,3,21,44,0,245,11
38.3,38.3,879,1159,1347,2908,66,10,14,62,0,304,21
51.2,51.2,656,602,801,1833,17,2,4,18,0,180,5
33.2,33.2,520,348,513,1207,31,2,4,19,0,110,8
53.1,53.1,836,1127,1235,2777,47,6,13,43,0,301,11
62.1,62.1,1012,541,1001,2147,86,5,8,52,0,238,18
02.1,02.1,1933,147,1253,2198,598,3,34,64,2,420,14
07.1,07.1,1007,132,767,1519,142,4,11,39,1,182,8
49.1,49.1,1057,1545,1665,3654,72,12,15,66,0,440,8
12.1,12.1,1240,137,1021,1953,81,4,13,58,0,276,13
56.2,56.2,750,539,864,1831,78,4,7,42,0,178,13
57.1,57.1,822,926,1169,2436,93,3,12,70,0,276,27
35.1,35.1,809,369,638,1489,119,3,9,19,2,159,16
61.1,61.1,907,659,911,2189,29,3,9,29,0,206,12
33.3,33.3,707,511,778,1688,82,2,10,27,0,186,1
21.1,21.1,1294,463,1008,2124,323,5,19,55,0,212,27
42.1,42.1,791,539,922,1662,149,4,18,95,0,316,8
17.1,17.1,779,159,683,1349,39,4,6,28,0,185,10
48.1,48.1,1187,1317,1455,3340,93,7,25,86,2,389,17
40.2,40.2,1038,1392,1460,3451,31,4,9,51,2,334,8
46.1,46.1,521,412,564,1264,30,3,3,23,0,164,10
34.1,34.1,487,245,457,1053,15,0,4,13,0,101,3
24.1,24.1,957,564,1060,2073,134,3,15,78,1,259,18
50.1,50.1,522,452,570,1356,5,1,3,19,3,154,3
04.1,04.1,771,118,591,1257,45,0,8,17,0,145,8
08.3,08.3,1301,391,979,1711,583,8,19,66,0,266,18
30.3,30.3,852,965,1283,2510,104,4,18,66,0,338,60
681,681,117,152,167,372,5,5,3,11,0,38,2
23.2,23.2,226,102,209,472,4,1,1,6,0,47,6
31.1,31.1,377,444,456,1170,4,1,1,13,0,83,5
23.3,23.3,408,158,271,758,12,1,4,7,0,53,2
63.1,63.1,181,190,216,501,12,0,5,6,0,62,1
0024,LOVELADY 04,570,1031,833,2143,27,1,4,31,0,193,35
0047-A,QUAKER MEADOWS #1-A,754,570,626,1389,376,5,9,26,0,132,13
0036,MORGANTON 06,459,725,669,1611,38,0,2,32,0,148,22
0031,MORGANTON 01,846,423,658,1290,349,7,14,67,0,192,8
0038,MORGANTON 08,658,751,777,1701,176,6,6,77,0,178,42
0034,MORGANTON 04,637,523,754,1498,140,1,8,47,0,209,11
0029-B,LOWER FORK-B,270,434,381,972,9,3,1,8,0,86,6
0070,SALEM,646,947,857,2147,54,5,4,44,0,177,19
0039,MORGANTON 09,599,500,650,1277,215,9,12,65,0,147,24
0012,ICARD 02,233,953,580,1605,6,4,2,8,0,129,12
0051,SILVER CREEK 01,922,1201,1202,2595,256,3,8,70,0,308,85
0022,LOVELADY 02,440,829,561,1630,22,3,1,21,0,111,42
0014,ICARD 04,260,1022,673,1693,8,3,4,22,0,177,48
0013,ICARD 03,427,1386,957,2367,39,5,3,39,0,255,62
0053,SILVER CREEK 03,494,888,807,1900,15,0,5,33,0,212,24
0065,BURKEMONT,252,438,404,975,9,0,1,10,0,85,14
0052,SILVER CREEK 02,378,526,442,1015,117,3,4,26,0,128,53
0029-A,LOWER FORK-A,204,497,428,980,37,0,3,8,0,88,13
0001,DREXEL 01,810,1234,955,2492,173,3,1,44,0,220,66
0021,LOVELADY 01,375,567,487,1246,14,1,1,16,0,131,20
0015,ICARD 05,240,722,507,1207,17,2,1,20,0,174,48
0003,DREXEL 03,233,506,361,952,25,1,1,8,0,91,22
0066,CHESTERFIELD,542,820,656,1601,179,3,4,31,0,176,24
0040,MORGANTON 10,476,607,617,1383,108,1,3,49,0,135,21
0011,ICARD 01,467,1356,994,2404,29,5,7,40,0,272,60
0047-B,QUAKER MEADOWS #1-B,436,458,451,1040,155,3,3,23,0,113,8
0035,MORGANTON 05,588,342,506,995,197,4,7,60,0,167,6
0064,UPPER FORK,170,299,294,702,2,1,2,4,0,49,3
0048,QUAKER MEADOWS 02,608,709,681,1692,109,3,2,48,0,131,13
0062,UPPER CREEK,215,308,278,721,20,1,1,5,0,51,2
0019,LINVILLE 01,143,262,194,518,17,0,1,7,0,55,1
0020,LINVILLE 02,253,319,348,736,103,2,0,5,0,73,1
0018,JONAS RIDGE,109,231,154,459,0,1,0,5,0,26,3
03-00,03-00,1333,2354,2156,4073,636,9,30,123,0,852,120
12-05,12-05,456,826,814,1780,100,3,6,23,0,174,10
02-08,02-08,2289,2131,2969,4144,1396,20,52,267,0,1159,351
01-04,01-04,1831,1745,2278,3262,1189,18,28,199,0,903,255
01-08,01-08,1732,1435,1903,2704,1209,19,35,176,0,857,70
01-11,01-11,1343,1634,1751,3049,712,18,34,136,0,579,200
02-03,02-03,1855,2251,2417,4092,1203,8,31,207,0,899,83
02-07,02-07,895,1439,1239,2558,390,7,12,57,0,493,56
12-11,12-11,607,525,674,1074,379,4,14,51,0,273,11
12-13,12-13,2127,604,1309,1356,1870,5,43,170,0,585,11
02-05,02-05,1284,1707,1571,3045,729,13,20,122,0,553,80
12-04,12-04,1046,806,1054,1677,702,10,19,66,0,425,7
02-09,02-09,2394,1923,3309,3756,1515,50,59,327,0,1346,573
04-01,04-01,1153,849,964,1606,854,6,17,67,0,395,21
04-13,04-13,1538,2146,1814,3802,830,9,30,124,1,657,45
02-06,02-06,1453,973,1440,1897,1121,4,26,152,0,625,41
04-09,04-09,930,1503,1144,2393,582,5,14,55,1,499,28
02-01,02-01,979,1224,1123,2095,539,5,12,94,0,533,48
12-08,12-08,551,439,548,841,327,4,13,89,0,258,6
04-12,04-12,2038,1209,1622,2277,1639,7,39,155,2,716,34
06-00,06-00,269,1163,618,1837,26,4,4,21,0,147,11
01-07,01-07,566,1170,924,1901,304,5,14,73,0,272,91
10-00,10-00,1141,2684,1842,4124,471,15,14,74,1,948,20
04-03,04-03,1017,940,828,1597,747,7,16,57,1,346,14
11-02,11-02,770,1450,1208,2651,298,4,14,67,0,376,18
12-09,12-09,837,981,1004,1750,528,2,12,85,0,427,18
07-00,07-00,138,689,358,1053,5,2,0,9,0,109,7
12-03,12-03,651,771,741,1410,393,5,14,54,0,245,42
01-10,01-10,791,1026,1129,1986,401,9,13,99,0,392,46
02-02,02-02,1420,1527,1716,2749,925,12,35,177,0,690,75
04-08,04-08,488,604,591,1078,304,5,3,46,0,236,11
09-00,09-00,361,1407,898,2256,78,3,7,28,0,281,13
01-02,01-02,687,1293,1120,2209,307,7,12,68,0,459,38
04-11,04-11,1198,929,1061,1802,787,10,23,106,1,445,14
11-01,11-01,2225,1509,2088,2794,1622,21,48,237,0,1066,34
05-00,05-00,506,1394,874,2273,152,5,10,34,0,280,20
08-00,08-00,648,2080,1354,3529,153,5,6,24,0,360,5
12-12,12-12,622,727,810,1371,393,6,17,54,0,306,12
12-14,12-14,919,917,1069,1962,487,3,17,52,0,369,15
PR35,LOVELADY-ONE,352,1437,707,2219,18,0,3,28,0,223,5
PR31,LOWER CREEK #31,412,675,438,1135,238,0,5,18,0,127,2
PR14,LOVELADY-RHODHISS,567,1428,1054,2614,81,6,6,38,0,293,11
PR07,GLOBE/JOHNS RIVER/MULBERRY/WILSON CREEK,313,1077,650,1861,19,1,4,7,0,146,2
PR22,NORTH CATAWBA #2,513,1653,966,2783,54,4,9,37,0,239,6
PR21,NORTH CATAWBA,476,1543,792,2482,25,5,4,32,0,259,4
PR33,HUDSON #33,971,2913,1763,5011,80,8,11,78,0,445,14
PR34,LOVELADY-TWO,734,2395,1484,4047,58,6,5,45,0,416,36
PR16,LOWER CREEK #1,572,489,514,1080,305,1,3,42,0,134,10
PR32,PATTERSON,393,1319,760,2218,34,4,8,8,0,194,6
PR01,GAMEWELL #1,800,1522,1035,2646,343,6,10,46,0,305,1
PR13,LITTLE RIVER,463,1599,869,2695,13,4,1,16,0,195,7
PR02,GAMEWELL #2,324,762,428,1320,61,0,3,12,0,112,6
PR18,LOWER CREEK #3,766,1909,1146,3445,90,3,13,29,0,219,22
PR30,LENOIR #30,1012,882,783,1675,637,1,25,84,0,251,4
PR29,LENOIR #29,785,1131,959,2171,322,3,13,73,0,283,10
PR25,SAWMILLS #2,316,882,548,1564,29,4,6,14,0,123,6
PR17,LOWER CREEK #2,425,776,548,1492,88,3,3,17,0,134,12
PR08,KINGS CREEK,227,562,352,1004,40,1,2,10,0,84,0
PR24,SAWMILLS #1,295,977,577,1618,25,6,6,19,0,170,5
CH,COURTHOUSE,1107,2853,2893,5760,532,15,15,95,0,415,21
SM,SOUTH MILLS,518,1133,1171,2241,315,2,7,45,1,204,7
SH,SHILOH,372,631,850,1535,139,1,3,22,0,143,10
BOGU,BOGUE,384,1620,1023,2521,98,3,7,24,2,365,7
BCRK,BROAD CREEK,310,885,669,1645,50,6,7,16,0,139,1
BFT2,BEAUFORT 2,902,1255,1241,2819,187,3,8,16,1,352,12
HAIS,HARKERS ISLAND,209,490,255,873,0,0,0,1,0,80,0
EMIS,EMERALD ISLE,631,1751,1356,3210,13,3,12,35,0,451,14
OTBEG,OTWAY/STRAITS/BETTIE/GLOUCESTER,330,913,637,1706,6,7,4,6,0,150,1
NPT1,NEWPORT 1,613,1484,1267,2771,211,11,15,45,2,285,24
MHD3,MOREHEAD 3,596,1466,1042,2716,111,2,8,28,1,228,10
MHD2,MOREHEAD 2,679,1049,1014,2112,217,9,14,25,0,347,18
WILD,WILDWOOD,575,1510,1249,2783,188,8,13,30,0,294,18
MERR,MERRIMON,143,199,140,404,34,0,0,5,0,36,3
NPT2,NEWPORT 2,427,1359,1049,2380,109,6,5,33,0,286,16
ISPK,INDIAN BEACH/SALTER PATH/PINE KNOLL,348,711,632,1506,5,0,2,8,1,166,3
STEL,STELLA,206,812,568,1340,47,3,5,15,1,173,2
CCCP,CAPE CARTERET/CEDAR POINT,405,1714,1097,2772,20,2,5,27,0,366,24
MASM,MARSHALLBERG/SMYRNA,119,267,219,558,4,0,0,1,0,38,4
MHD4,MOREHEAD 4,467,1375,848,2379,15,4,4,21,0,246,21
BFT1,BEAUFORT 1,500,395,563,1058,219,0,8,6,0,158,9
ABCH,ATLANTIC BEACH,250,713,477,1258,7,2,4,4,0,162,3
MCRK,MILL CREEK,49,297,168,462,4,2,0,3,0,43,0
NRIV,NORTH RIVER,323,168,151,298,279,1,1,5,0,57,1
MHD1,MOREHEAD 1,539,982,845,1887,199,1,9,17,0,236,17
WIHA,WIREGRASS/HARLOWE,318,817,593,1456,91,6,5,8,0,157,5
PELE,PELETIER,202,683,481,1182,4,3,2,15,0,153,7
ASCI,ATLANTIC/SEA LEVEL/CEDAR ISLAND,216,326,235,725,1,2,2,5,0,41,1
DASW,DAVIS/STACY/WILLISTON,121,348,146,575,1,1,1,1,0,34,2
LOCU,LOCUST HILL,1009,460,444,858,859,2,5,21,1,164,3
PELH,PELHAM,956,931,980,2100,543,4,9,23,0,180,8
STON,STONEY CREEK,733,786,658,1448,440,5,12,16,0,256,0
YANC,YANCEYVILLE,1104,356,657,1005,889,3,9,21,0,182,8
MILT,MILTON,1167,316,482,890,925,3,6,16,0,123,2
ANDE,ANDERSON,263,271,304,608,143,3,3,11,0,70,0
PH,PROSPECT HILL,716,465,586,1187,413,0,1,15,0,149,2
LEAS,LEASBURG,335,103,208,349,237,0,2,6,0,52,0
PROVI,PROVIDENCE,334,209,249,549,183,0,2,2,0,56,0
13,GREENMONT,625,380,631,880,433,3,8,85,0,202,25
28,ST STEPHENS #1,668,1296,1174,2189,248,5,14,233,0,361,88
25,NORTH NEWTON,567,707,869,1402,276,3,18,126,1,276,41
37,VIEWMONT #2,705,943,982,1886,329,6,12,110,0,265,22
22,MOUNT OLIVE,715,1509,1239,2686,223,6,13,96,0,333,106
31,SHERRILLS FORD,681,2498,1575,3926,175,4,4,58,0,575,12
36,VIEWMONT #1,465,1020,851,1957,113,0,5,48,0,182,31
27,OXFORD,683,1935,1314,3184,144,3,11,80,0,357,153
26,OAKLAND HEIGHTS,402,776,670,1545,79,2,6,32,0,172,12
17,LONGVIEW NORTH,513,568,683,1151,241,4,11,98,0,213,46
33,SPRINGS,763,2063,1568,3404,179,5,10,165,0,404,227
38,FALLING CREEK,560,1324,1068,2474,114,0,7,87,1,231,38
21,MONOGRAM,238,995,603,1593,49,3,3,13,0,170,5
12,KENWORTH,848,248,503,550,801,2,9,72,0,133,32
40,WEST NEWTON,364,532,582,1070,189,1,6,43,0,137,32
30,SANDY RIDGE,951,1501,1440,2773,367,4,26,204,0,411,107
39,NORTHWEST,360,1254,755,2043,47,3,5,48,1,185,37
29,ST STEPHENS #2,672,2125,1605,3658,118,3,12,146,0,397,68
05,CATAWBA,631,1517,1040,2444,330,10,11,57,0,293,43
09,EAST MAIDEN,354,1353,787,2090,96,1,6,38,0,240,23
02,BANOAK,340,1174,677,1915,38,3,3,18,0,195,19
24,MOUNTAIN VIEW #2,664,1995,1326,3280,169,7,9,73,0,374,73
20,MAIDEN,602,1518,1146,2579,255,3,18,69,0,306,36
23,MOUNTAIN VIEW #1,737,1900,1509,3387,215,3,11,79,0,375,76
32,SOUTH NEWTON,733,1099,1150,2118,310,5,9,107,0,338,95
01,BALLS CREEK,400,1932,1085,2987,69,3,5,36,0,293,24
08,CONOVER EAST,459,1188,920,2149,104,2,9,57,0,178,68
07,CONOVER WEST,798,1099,1033,2033,406,1,17,136,0,266,71
03,BLACKBURN,420,1150,801,1905,125,4,3,47,0,231,56
35,SWEETWATER,688,1231,1089,2182,273,7,10,116,0,332,88
14,OAKWOOD,292,628,608,1343,42,0,4,17,0,111,11
34,STARTOWN,737,1992,1478,3435,199,3,23,89,0,357,101
19,LONGVIEW SOUTH,310,443,388,777,170,2,5,46,0,96,45
06,CLAREMONT,455,1132,754,1942,119,5,7,43,0,196,29
16,HIGHLAND,643,957,994,1824,316,2,8,95,0,312,37
15,RIDGEVIEW,511,35,168,74,538,1,5,26,0,63,7
04,BROOKFORD,283,266,301,520,177,0,5,31,0,90,27
11,COLLEGE PARK,271,365,428,824,85,2,8,31,0,106,8
10,EAST NEWTON,258,163,210,289,230,1,6,29,0,70,6
41,LAKE NORMAN,440,1801,1194,2825,51,6,10,30,0,503,10
78,WEST WILLIAMS,1991,1163,2147,4322,157,12,17,82,0,638,73
NWM117,NORTH WILLIAMS,2403,1244,2567,4509,414,12,36,142,0,962,139
30,HICKORY MOUNTAIN,567,531,663,1324,219,4,6,26,0,177,5
ESC114,EAST SILER CITY,1942,899,1164,1989,1097,7,33,246,0,613,20
MCH110,MANNS CHAPEL,3481,1408,3844,6574,347,16,50,143,1,1441,161
42,NEW HOPE,531,714,898,1545,100,5,10,43,0,410,30
75,EAST WILLIAMS,1310,1330,2016,3437,228,6,20,111,0,687,167
20,THREE RIVERS,570,643,745,1323,292,12,4,19,0,300,8
PIT113,PITTSBORO,3026,1420,2968,4942,1200,18,41,143,0,1010,60
3,ALBRIGHT,480,697,602,1365,138,7,2,25,0,237,5
45,OAKLAND,347,290,369,756,113,1,1,9,0,125,1
18,GOLDSTON,841,697,766,1622,442,4,7,24,0,200,5
85,WEST SILER CITY,1180,694,805,1493,579,9,23,158,0,399,18
15,BYNUM,929,432,936,1696,242,4,9,33,0,291,22
9,BONLEE,464,488,487,1137,147,1,1,17,0,136,0
24,HARPERS CROSSROADS,160,336,263,677,13,0,0,7,0,62,0
21,HADLEY,468,417,688,1341,29,1,5,18,0,174,5
6,BENNETT,164,378,237,660,38,0,0,6,0,72,3
BELL,BELLVIEW,198,617,435,1167,5,3,3,3,0,63,6
PCHT,PEACHTREE,414,1108,719,2077,9,13,5,20,0,112,5
MURS,MURPHY SOUTH,415,1079,835,2123,17,14,5,29,0,122,19
UNKA,UNAKA,83,284,194,526,1,2,1,3,0,27,1
HIWA,HIWASSEE DAM,331,1095,608,1917,11,10,0,13,0,81,2
HOTH,HOT HOUSE,245,796,465,1410,10,2,2,9,0,69,4
MARB,MARBLE,260,650,439,1248,7,12,1,12,0,67,2
HANG,HANGING DOG,81,428,232,713,2,2,0,1,0,23,0
MURN,MURPHY NORTH,432,852,750,1776,100,12,4,28,0,95,19
ANNW,ANDREWS NORTH WARD,327,703,534,1445,3,15,2,14,0,78,7
BRAS,BRASSTOWN,335,788,582,1597,3,6,3,6,0,87,3
RGER,RANGER,303,836,566,1616,10,9,3,7,0,58,2
CSON,CULBERSON,175,454,290,866,9,5,2,1,0,33,3
GCRK,GRAPE CREEK,49,258,159,426,0,11,2,0,0,27,0
TOPT,TOPTON,68,239,97,385,1,2,0,1,0,15,0
ANSW,ANDREWS SOUTH WARD,346,693,504,1405,31,7,3,14,0,80,3
2,WEST EDENTON,1294,838,877,1798,978,2,8,23,1,189,10
3,ROCKY HOCK,378,573,593,1364,54,3,4,9,1,109,0
1,EAST EDENTON,1006,318,528,814,887,1,3,13,0,130,4
6,YEOPIM,488,476,459,976,341,1,1,9,0,95,0
5,WARDVILLE,266,347,283,710,126,1,2,9,0,48,0
4,CENTER HILL,419,203,206,442,323,2,2,8,0,50,1
HAY1,HAYESVILLE ONE,214,532,429,1084,12,2,1,8,0,66,2
SHCR,SHOOTING CREEK,190,638,443,1188,4,0,0,3,0,73,3
TUSQ,TUSQUITTEE,111,306,270,653,0,1,1,1,0,31,0
HAYC,HAYESVILLE CENTRAL,94,206,167,429,3,0,0,5,0,29,1
HIAW,HIAWASSEE,264,772,515,1426,9,3,2,7,0,103,1
WARN,WARNE,122,364,297,713,2,1,1,10,0,54,2
HAY2,HAYESVILLE TWO,256,674,505,1337,6,3,2,8,0,79,0
SWEE,SWEETWATER,147,324,279,701,3,3,2,3,0,38,0
WACO,WACO,961,1297,964,2222,582,3,10,55,0,337,13
BETHWR,BETHWARE,413,837,571,1370,202,1,3,18,0,211,16
RIPPY,RIPPY,1213,1432,1051,2567,750,5,25,32,0,309,8
S C,SHELBY CENTRAL,3123,1800,2006,3917,2172,12,40,98,1,657,32
BR,BROAD RIVER,1187,1880,1509,3673,428,7,17,44,0,401,6
SHANGI,SHANGHAI,842,989,771,1967,406,5,8,13,0,195,8
S 4A,SHELBY #4,2063,1243,1213,2536,1538,9,24,48,0,351,13
CASAR,CASAR,224,723,392,1220,1,3,1,5,0,104,5
KINGST,KINGSTOWN,558,145,188,325,504,0,2,3,0,56,1
POLKVL,POLKVILLE,588,970,787,2016,93,2,6,24,0,202,2
FALSTN,FALLSTON,370,683,496,1350,59,2,4,6,0,124,4
S S,SHELBY SOUTH,2544,1708,1594,3293,1901,8,21,74,0,527,22
S 5,SHELBY #5,1122,785,681,1483,822,3,5,15,1,247,12
LATT,LATTIMORE,683,1228,817,2207,200,3,9,46,0,256,7
KM S,KINGS MOUNTAIN SOUTH,1418,1695,1285,2870,937,5,13,63,1,465,44
OAKGRV,OAK GROVE,654,1754,1057,2750,224,6,7,38,0,434,6
KM N,KINGS MOUNTAIN NORTH,1493,1918,1399,3172,1013,9,12,40,0,546,18
MULLS,MULLS,443,904,566,1666,49,1,3,18,0,175,1
GROVER,GROVER,754,1537,908,2356,428,4,10,38,0,332,31
LAWNDL,LAWNDALE,738,456,502,1042,488,1,10,7,0,148,0
MRB-YO,MOORESBORO-YOUNG,376,687,468,1257,118,1,3,11,0,140,1
P14,RANSOM,1494,1055,839,1776,1122,59,10,52,0,367,2
P15,TATUM,1092,479,552,1214,739,20,2,15,0,133,0
P22A,SOUTH WHITEVILLE,777,569,637,1350,426,22,5,25,0,154,1
P26B,SOUTH WILLIAMS,1580,843,815,1794,1154,12,4,19,0,251,4
P20A,WHITEVILLE 2,529,137,222,289,512,9,1,16,0,57,4
P16B,WACCAMAW,689,436,502,1009,181,287,5,10,0,127,8
P09,FAIR BLUFF,601,212,244,538,448,4,2,5,0,60,0
P25B,WILLIAMS 2,320,500,470,1131,44,8,1,10,0,95,1
P08,CHERRY GROVE,127,153,137,388,7,6,3,3,0,10,0
P18,WESTERN PRONG,243,125,145,321,150,4,0,7,0,31,0
P24,WILLIAMS 1,560,651,722,1604,177,3,3,11,0,134,1
P03,BUG HILL 1,194,188,175,387,88,5,0,15,0,59,3
P07,CHADBOURN,1586,592,873,1474,1325,51,7,38,0,156,0
P17,WELCHES CREEK,687,176,262,386,565,68,8,22,0,76,0
P19,WHITEVILLE 1,1135,592,584,1299,797,16,8,31,0,151,9
P01A,BOGUE,783,389,426,982,447,34,5,26,0,104,0
P06,CERRO GORDO,307,243,296,632,160,5,2,4,0,41,2
P13,WEST LEES,193,203,237,520,36,4,0,12,0,61,0
P02B,BOLTON,638,151,215,239,431,254,5,9,0,61,5
P23,WEST WHITEVILLE,901,556,588,1157,723,16,5,25,0,113,6
P21,NORTH WHITEVILLE,401,345,327,693,276,9,9,13,0,69,4
P10,EAST LEES,212,337,288,746,15,5,0,10,0,61,0
P05,BUG HILL  3,143,128,131,322,45,2,0,2,0,31,0
P11,NORTH LEES,280,271,275,639,97,7,1,15,0,66,1
P04,BUG HILL 2,156,102,114,219,114,2,1,5,0,31,0
P12,SOUTH LEES,87,75,48,196,1,3,0,0,0,10,0
N3N5,GLENBURNIE-GROVER C,1525,925,1138,1905,1150,15,18,62,0,309,129
17,CROATAN,389,1157,841,1903,180,5,13,66,0,180,40
05,RIVER BEND,514,932,950,2013,158,0,3,29,0,179,14
23,GRANTHAM 2B,1166,2314,1885,4133,585,7,19,97,1,463,60
02,HAVELOCK,2253,3658,3806,5893,1850,37,94,517,3,1128,195
03,TRENT WOODS,698,1605,1048,3051,43,3,7,28,0,199,20
19,HARLOWE,1079,993,814,1551,1024,12,16,55,0,213,15
16,GRANTHAM 1A,912,1730,1340,3064,450,7,17,74,0,335,35
20,FAIRFIELD HARBOUR,589,1291,1198,2683,123,4,6,39,0,206,17
11,BRIDGETON,544,1259,920,2293,207,11,8,34,1,161,8
N4,H.J. MACDONALD,1917,1221,1532,2443,1420,11,24,136,1,471,164
N2,FORT TOTTEN,1221,275,614,658,1211,4,9,32,0,174,22
N6,WEST NEW BERN,1455,1499,1565,3186,798,12,23,73,0,298,129
21,BRICES CREEK,562,1412,979,2463,238,4,12,35,0,185,16
TE13,TRUITT-ERNUL,262,581,340,999,74,2,2,8,0,96,2
N1,GEORGE STREET,911,523,690,1239,667,3,3,18,0,172,22
07,JASPER,912,851,531,1417,706,3,8,23,1,130,6
CLR4,CLARKS-RHEMS,831,695,668,1280,657,2,16,42,0,156,41
VE14,VAN-EP,1536,1455,1039,2514,1129,13,16,51,0,305,2
CFB8,COVE-FORT BARNWELL,494,566,320,941,341,2,1,14,0,81,0
DFB9,DOVER-FORT BARNWELL,380,264,187,441,331,1,3,2,0,52,1
G10A,STONEY POINT 2-G10,1660,1578,1836,2400,1376,58,40,270,0,736,194
G9B-1,HOPE MILLS 2A-G9,1601,1292,1615,2190,1367,92,38,192,1,589,39
SH77,SHERWOOD,932,927,860,1581,706,46,23,74,1,268,20
G8A,CUMBERLAND 4-G8,1633,776,1324,1340,1509,35,48,216,2,523,60
CC18,CROSS CREEK 18,520,520,457,1009,257,18,9,49,0,125,30
G10C,STONEY POINT 1-G10,1152,1367,1420,2106,832,68,41,201,0,592,99
CC12,CROSS CREEK 12,387,710,514,1313,59,7,8,51,0,154,19
G3A-2,PEARCES MILL 2B-G3,1128,605,873,1047,988,56,24,119,1,349,22
CC24,CROSS CREEK 24,671,311,510,523,606,8,21,80,0,231,23
CC33,CROSS CREEK 33,1089,466,726,740,1004,9,26,116,1,333,52
G5A-2,AUMAN-2-G5,1003,549,659,752,1006,15,31,132,0,240,35
G8B,CUMBERLAND 1A-G8,877,708,1053,1104,777,21,32,182,1,433,88
G2B,CROSS CREEK 22-G2,2022,895,1488,1577,1885,28,75,200,1,581,58
G2C-2,CROSS CREEK 23-2-G2,1052,794,890,1231,935,12,37,127,0,325,69
CC34,CROSS CREEK 34,671,689,704,1126,404,17,30,130,0,196,161
G2E-1,WESTAREA-1-G2,1246,258,601,426,1318,11,23,63,0,245,19
SL78-3,SPRING LAKE 3,2571,762,1672,1192,2508,27,71,301,2,813,91
CC26,CROSS CREEK 26,1790,493,1108,810,1703,19,49,198,1,531,80
G11B,MANCHESTER-G11,1108,1315,2085,1999,832,22,68,365,4,1093,125
G6B,BEAVER DAM-G6,350,471,265,831,144,11,3,10,0,87,0
G5A-1,AUMAN-1-G5,1388,356,777,619,1386,17,32,129,0,304,34
LI65,LINDEN,945,1311,1065,2118,650,26,22,105,2,362,36
G8C,CUMBERLAND 3-G8,1000,510,841,864,937,39,28,138,0,325,20
G6C,CEDAR CREEK-G6,686,629,548,1102,491,47,17,39,0,162,5
AL51,ALDERMAN,1445,2010,1597,3220,1027,115,20,146,1,496,27
MR02,MORGANTON RD 2,1346,527,1101,833,1262,21,38,233,1,496,90
CC13,CROSS CREEK 13,1113,86,660,136,1288,10,28,52,2,332,11
CC27,CROSS CREEK 27,2084,571,1368,882,2004,21,67,253,0,733,63
CC06,CROSS CREEK 06,415,308,457,700,261,15,10,38,1,148,7
G4C,PEARCES MILL 4-G4,959,326,702,549,930,35,29,94,0,321,29
CC07,CROSS CREEK 07,320,329,395,788,89,4,6,38,0,106,13
LR63,LAKE RIM,2372,665,1510,943,2379,28,75,312,4,753,53
CC519,CROSS CREEK 519,1836,201,716,273,2005,19,28,77,1,338,12
G2E-2,WESTAREA-2-G2,1628,251,803,437,1697,20,33,117,3,360,15
CC14,CROSS CREEK 14,888,881,968,1572,518,31,30,129,0,376,81
