,PREC_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
1859,WC,1484,1014,1680,3419,277,10,24,44,0,368,36
1860,WD,2164,261,1319,1984,945,9,33,130,0,432,211
1861,WDPD,292,679,507,1252,101,2,3,15,0,102,3
1862,WDS,395,14,75,460,4,0,0,3,0,14,3
1863,WDSD,494,239,337,561,387,6,2,13,1,99,1
1864,WE,561,412,536,1402,3,5,3,15,0,77,4
1865,WEB,845,461,692,1794,14,17,8,22,0,128,15
1866,WEL 3,1518,259,479,610,1447,13,9,15,0,160,2
1867,WEL1-2,1087,105,328,296,1108,3,5,8,0,98,2
1868,WEM,299,1227,450,1734,108,0,5,21,0,102,6
1869,WEST,2142,1138,1328,2361,1697,211,20,52,1,255,11
1870,WEST H,363,246,283,575,235,3,3,12,0,62,2
1871,WEST M,791,1450,1139,3006,127,0,19,38,0,181,9
1872,WH,4240,1360,2180,4209,2648,17,26,145,0,703,32
1873,WHCH,1030,681,1222,1201,52,1342,12,34,0,281,11
1874,WIHA,318,817,593,1456,91,6,5,8,0,157,5
1875,WILD,575,1510,1249,2783,188,8,13,30,0,294,18
1876,WILT,1339,2334,2287,4398,513,9,20,104,1,881,34
1877,WKWD,393,1028,883,2002,71,4,7,34,0,162,24
1878,WN,881,88,219,291,780,32,7,9,1,67,1
1879,WN04,1025,2026,1829,3452,614,13,25,199,0,489,88
1880,WND,596,1040,900,1920,331,13,8,59,0,196,9
1881,WO,79,114,107,272,1,4,1,1,0,20,1
1882,WO06,464,669,641,1516,80,2,7,35,0,131,3
1883,WOEL,903,218,317,573,728,7,5,33,0,90,2
1884,WOLF,412,536,596,1137,100,3,1,121,0,179,3
1885,WOPO,577,79,212,330,468,2,2,7,0,59,0
1886,WP32,818,2832,2155,4716,189,3,12,74,0,781,30
1887,WS,2097,2518,1887,4790,883,9,21,64,0,716,19
1888,WS-1,774,643,786,2016,38,2,4,19,0,114,10
1889,WS-2,596,495,621,1551,42,2,5,8,0,99,5
1890,WW,538,535,613,1539,13,5,3,12,0,109,5
1891,WW1,1622,225,1341,2005,365,12,56,67,0,536,147
1892,YANC,1104,356,657,1005,889,3,9,21,0,182,8
