,PREC_ID,DEM,REP,OTHER,W,B,I,M,O,P,U,A
291,0701,1800,961,885,1806,1490,12,8,73,0,221,36
292,071,1329,2300,2207,4691,385,3,25,101,0,551,80
293,072,1992,2797,2773,5744,633,9,31,247,0,770,128
294,073,1163,2120,1686,4130,256,10,19,91,0,434,29
295,074,1893,2350,2623,5080,630,8,55,176,0,738,179
296,075,991,1724,1621,3737,141,9,18,86,0,288,57
297,076,908,944,1223,2544,149,5,14,65,0,262,36
298,077,1877,167,662,336,1818,12,17,167,0,332,24
299,078.1,1396,395,1058,1068,1090,12,39,145,0,429,66
300,079,1291,338,680,584,1148,9,20,137,0,282,129
301,08,11242,12424,11735,24969,5783,286,162,638,1,3290,272
302,08 CRA,724,1023,713,2285,2,2,5,8,0,156,2
303,08-00,648,2080,1354,3529,153,5,6,24,0,360,5
304,08-02,1424,1069,1868,3240,409,5,37,111,0,473,86
305,08-03,2158,1338,2528,3575,992,24,37,236,1,959,200
306,08-04,495,616,713,1566,46,4,12,39,0,135,22
307,08-05,677,665,889,1806,127,2,15,52,0,187,42
308,08-06,1103,380,1076,1331,580,4,23,89,0,502,30
309,08-07,659,947,1106,2256,93,4,20,74,1,197,67
310,08-08,1254,1277,1959,3471,258,9,28,133,1,469,121
311,08-09,801,451,909,1456,256,2,13,78,0,307,49
312,08-10,1098,746,1295,2024,429,10,40,123,0,411,102
313,08-11,1476,972,1909,2687,483,15,39,232,0,596,305
314,08.2,1366,359,1095,1702,631,10,30,74,2,351,20
315,08.3,1301,391,979,1711,583,8,19,66,0,266,18
316,080,2197,468,1152,961,2051,8,41,190,0,447,119
317,0800A,1089,660,538,1204,887,0,3,41,0,149,3
318,0800B,982,455,471,983,756,1,6,41,0,119,2
319,0801,666,449,314,851,435,0,5,33,0,105,0
320,081,4625,1210,2349,2314,4268,17,74,336,1,999,175
321,082,4603,1523,2386,2608,4283,23,73,365,2,1088,70
322,083,3122,1173,1807,2192,2652,20,57,359,1,710,111
323,084,1556,220,794,594,1339,11,31,166,0,359,70
324,085,1164,669,1031,1848,580,8,28,115,0,246,39
325,086,440,950,803,1977,34,2,4,35,0,114,27
326,087,1123,791,1276,2088,443,20,28,191,1,358,61
327,088,985,823,1237,2021,391,7,25,153,0,403,45
328,089,3597,1114,2074,2261,3332,13,57,261,0,763,98
329,08N,782,1095,929,2184,201,4,11,71,0,322,13
330,08S,332,651,503,1224,72,3,6,18,0,160,3
331,09,10040,13297,10839,25896,4058,333,132,614,1,2962,180
332,09 SOU,663,652,569,1700,2,3,5,9,0,163,2
333,09-00,361,1407,898,2256,78,3,7,28,0,281,13
334,09-01,1058,848,832,1591,750,8,16,66,0,295,12
335,09-02,1980,809,1196,1664,1524,16,40,163,0,542,36
336,09-03,1473,1261,1334,2322,1019,6,27,93,1,578,22
337,09.1,1839,585,1732,2983,425,8,31,106,0,568,35
338,090,507,518,732,1370,126,5,14,63,0,148,31
339,0901,729,692,419,1290,393,4,6,20,0,119,8
340,091,1641,2777,2713,5570,435,21,28,181,0,656,240
341,092,1172,1994,1841,3964,365,11,23,121,0,441,82
342,093,450,782,703,1531,94,7,9,82,0,172,40
343,094,1127,395,714,779,875,17,21,154,0,296,94
344,095,1336,214,662,486,1246,4,16,153,1,273,33
345,096,774,579,854,1543,308,1,15,71,0,227,42
346,097,914,179,602,548,795,7,20,92,2,209,22
347,098,1835,232,891,496,1604,9,33,281,0,477,58
348,099,1480,230,860,547,1456,2,18,131,0,396,20
349,09A,759,1577,1072,2965,97,5,7,31,0,297,6
350,09N,781,798,768,1523,444,5,10,40,0,302,23
351,09S,1357,1616,1520,3260,460,14,29,123,1,565,41
352,1,1996,612,930,1564,1679,3,16,30,0,240,6
353,10,7502,9843,7720,17093,4338,296,130,483,0,2597,128
354,10 PEN,134,221,196,506,1,0,2,3,0,38,1
355,10-00,1141,2684,1842,4124,471,15,14,74,1,948,20
356,10-01,409,564,415,992,210,2,7,25,0,141,11
357,10-02,1843,1168,1470,2171,1372,16,32,188,1,654,47
358,10-03,1321,784,990,1610,879,8,28,121,0,424,25
359,10-04,3811,2144,3105,4395,2844,24,84,328,0,1266,119
360,10.1,948,72,454,640,639,4,13,33,0,139,6
361,100,863,908,1291,2296,219,7,22,136,0,290,92
362,1001,2277,1444,1124,2741,1681,8,16,85,0,312,2
363,101,1755,1820,1893,3816,887,9,23,155,1,516,61
364,102,2812,1606,2301,3207,1998,16,50,408,1,868,171
365,103,1829,2673,2671,5701,440,19,33,182,0,684,114
366,104,3390,1522,2124,2929,2816,17,57,256,0,843,118
367,105,2883,1179,2062,2313,2342,11,77,231,1,1011,138
368,106,726,1086,970,2407,122,2,8,28,0,177,38
369,107,417,1567,635,2313,10,2,5,23,0,266,0
370,107.1,2451,400,1287,898,2366,14,46,223,1,490,100
371,108,1964,827,1291,1525,1680,6,36,249,0,517,69
372,109,1415,957,1609,3165,209,8,28,79,0,432,60
373,10A,1117,2527,2031,4744,262,13,10,43,0,594,9
374,10B,1060,2702,2473,5831,46,2,3,20,0,311,22
375,10N,1061,1229,1206,2479,451,6,17,73,1,446,23
376,10S1,2226,1612,2066,3329,1341,14,43,147,0,978,52
377,11,13062,16014,13483,31177,6234,486,144,723,2,3593,200
378,11 PRI,288,550,369,1107,1,2,2,2,0,91,2
379,11-01,4477,2878,4800,6722,2327,36,112,447,0,2351,160
380,11-02,2626,2645,3208,6249,751,10,59,224,0,1067,119
381,11.1,934,142,792,1148,366,16,27,33,0,273,5
382,110,404,512,585,1230,96,1,3,35,1,117,18
383,1101,1013,660,535,1288,733,6,10,41,0,129,1
384,1102A,1030,1149,1044,2274,590,10,17,73,0,238,21
385,1102B,1065,1500,1340,2863,623,10,15,113,0,264,17
386,111,1547,2991,2330,5703,383,10,21,109,2,596,44
387,112,1702,3350,2534,5932,610,15,45,162,0,725,97
388,113,882,1335,1472,2927,230,6,30,115,0,267,114
389,113A,381,1066,569,1857,4,3,2,7,0,141,2
390,114,886,1427,1428,3183,147,3,18,82,0,290,18
391,115,950,306,667,697,688,9,14,212,0,270,33
392,115A,501,2121,957,3223,38,2,11,32,0,269,4
393,116,1036,214,508,353,996,6,20,120,0,228,35
394,117,1528,965,1139,1810,1233,9,29,101,0,412,38
395,118,1589,1736,1976,3926,529,10,35,184,0,515,102
396,119,1139,2627,1844,4867,151,10,14,75,0,452,41
397,11A,719,283,519,429,236,693,12,51,0,95,5
398,12,11834,12906,12563,24423,7182,423,294,1017,4,3702,258
399,12-01,1683,2520,2712,5290,542,10,43,164,0,792,74
400,12-02,1734,1598,2135,3478,917,17,45,206,1,752,51
401,12-03,651,771,741,1410,393,5,14,54,0,245,42
402,12-04,2240,3024,3097,5862,1077,21,46,210,1,1094,50
403,12-05,2573,3706,4405,8454,760,13,50,261,0,1008,138
404,12-06,1268,1640,1868,3425,555,12,31,125,0,600,28
405,12-07,873,1093,1298,2231,450,13,23,106,0,410,31
406,12-08,2388,1934,2526,4160,1343,18,46,271,0,931,79
407,12-09,2315,2981,3283,6084,1063,12,39,216,0,1077,88
408,12-11,607,525,674,1074,379,4,14,51,0,273,11
409,12-12,622,727,810,1371,393,6,17,54,0,306,12
410,12-13,2127,604,1309,1356,1870,5,43,170,0,585,11
411,12-14,919,917,1069,1962,487,3,17,52,0,369,15
412,12.1,1240,137,1021,1953,81,4,13,58,0,276,13
413,120,1772,1275,1446,2276,1343,15,41,225,0,528,65
414,1201,5005,1189,1656,2062,4819,13,48,216,0,680,12
415,1202,1583,77,267,92,1667,3,11,16,0,130,8
416,1203,1628,788,560,1286,1400,4,13,55,0,216,2
417,1204,1390,55,209,62,1461,3,8,8,0,111,1
418,1205,968,37,140,22,1026,5,2,18,0,72,0
419,121,1256,2735,2238,5180,276,20,22,141,1,452,137
420,1210,806,497,657,1006,604,9,22,54,0,249,16
421,122,5636,3295,4552,6518,4247,40,110,582,0,1661,325
422,123,2714,1739,2056,3341,1977,11,38,261,1,758,122
423,124,2525,1473,1730,2807,1957,11,41,208,0,630,74
424,125,1527,1332,1305,2581,886,5,28,174,0,415,75
425,126,2792,1512,1815,2825,2240,10,55,193,0,702,94
426,127,4163,3488,3990,7574,2386,20,70,299,2,1161,129
427,128,3125,2265,2405,4353,2216,11,66,221,2,843,83
428,129,1675,2022,1592,3621,831,6,35,168,1,570,57
429,12E,785,295,501,610,587,8,17,93,0,249,17
430,12N,2179,276,773,653,1966,13,34,141,0,417,4
431,12S,613,198,403,426,487,3,19,72,0,199,8
432,12W,760,571,698,1451,271,4,20,47,0,227,9
433,13,12595,13287,12707,25329,7150,436,204,911,2,4314,243
434,13-01,3459,708,2249,1794,2764,16,79,342,2,1237,182
435,13-02,664,614,880,1623,197,6,15,50,0,234,33
436,13-05,1283,378,968,996,934,8,29,92,0,534,36
437,13-06,1131,817,1298,2192,462,8,19,129,0,370,66
438,13-07,1365,419,945,994,944,8,33,165,0,458,127
439,13-08,1999,416,1157,929,1601,10,43,207,0,706,76
440,13-09,2679,641,1744,1428,2204,10,56,279,0,865,222
441,13-10,2019,1766,2548,4668,625,9,42,196,0,674,119
442,13-11,975,1092,1328,2645,273,2,26,80,0,312,57
443,13.1,1242,169,1031,1787,265,3,20,52,0,304,11
444,130,1054,289,670,657,757,6,18,146,0,272,157
445,1301,688,932,622,1725,347,5,6,30,0,124,5
446,131,1421,1986,1991,4310,429,11,24,106,1,444,73
447,132,2347,1890,2262,3907,1459,19,37,251,0,698,128
448,133,2612,4536,4458,9317,679,18,49,268,0,1086,189
449,134,2346,2208,3308,5440,1057,12,58,290,0,910,95
450,135,5211,533,2360,1275,5177,15,85,379,0,1077,96
451,136,622,1087,959,2240,102,14,6,54,0,216,36
452,137,1508,2350,2706,4387,458,34,23,342,0,684,636
453,138,2163,462,1313,1000,1857,9,40,278,1,638,115
454,139.1,1139,1242,1543,2686,380,13,28,177,0,431,209
455,14,11357,14734,13428,27719,5949,268,227,963,10,4160,223
456,14-01,192,350,320,677,49,4,1,9,0,114,8
457,14-02,1543,3074,2875,5918,422,19,35,171,0,803,124
458,14.2,1209,219,958,1673,309,4,16,62,1,305,16
459,14.3,614,201,679,1060,149,3,13,44,0,209,16
460,140,1831,2178,2633,4333,792,26,44,366,0,688,393
461,1401,280,462,231,725,138,0,5,9,0,94,2
462,1403A1,1260,1096,1002,2087,891,8,14,90,0,241,27
463,1403A2,1397,882,946,1782,1139,4,15,80,0,193,12
464,1403B,1948,1415,1466,2911,1374,11,22,124,0,333,54
465,141,1612,372,2022,1278,1265,14,130,151,0,1022,146
466,142,1869,2552,2889,5479,691,20,40,247,0,734,99
467,143,1473,2170,2551,4875,485,7,29,172,0,491,135
468,144,1043,1245,1559,2885,315,9,14,151,1,337,135
469,145,4584,2262,3944,5401,3416,25,75,409,0,1169,295
470,146,2910,358,1484,883,2902,7,47,213,0,590,110
471,147,2387,450,1244,970,2079,11,38,281,0,612,90
472,148,3809,3367,5373,7135,1655,121,90,849,0,1441,1258
473,149,3615,568,1759,1181,3361,7,68,367,0,795,163
474,14A,779,2056,1338,3453,294,7,14,52,0,341,12
475,15,13777,14891,14127,28866,7740,227,235,1035,2,4397,293
476,15-01,1283,1581,1773,3293,581,12,23,119,0,573,36
477,15-02,1963,1973,2402,4159,1021,19,57,214,0,776,92
478,15-03,1363,2027,2030,4065,556,17,25,119,0,611,27
479,15-04,782,886,866,1786,398,3,15,72,0,235,25
480,15.1,1131,208,953,1928,40,3,21,44,0,245,11
481,150,1968,703,1252,1551,1682,11,36,144,0,452,47
482,1501,831,51,168,88,867,1,3,33,0,58,0
483,1503,1723,317,870,718,1642,4,21,65,0,422,38
484,1504A,1820,237,688,485,1865,5,25,51,0,289,25
485,1504B,2610,698,1380,1599,2323,15,45,141,0,513,52
486,1505A,1695,325,788,728,1692,5,19,68,0,269,27
487,1505B,2068,133,503,208,2220,0,18,49,0,200,9
488,1506,1051,286,748,781,845,3,21,62,0,357,16
489,1507,1254,633,1354,1652,799,5,35,70,0,645,35
490,1507B,343,363,808,750,167,5,35,35,0,506,16
491,1508A,404,547,885,1168,138,3,21,31,0,464,11
492,1508B,653,452,766,1123,281,6,30,52,0,364,15
493,1509,1701,961,1518,2336,1002,9,40,118,0,618,57
494,151,2875,660,1883,1717,2654,11,57,255,1,618,105
495,1510A,777,815,640,1726,273,0,11,50,0,150,22
496,1510B,965,762,900,1881,445,3,14,73,0,183,28
497,1511A,1124,1324,1102,2591,533,6,15,97,0,253,55
498,1511B,1412,949,1404,2071,985,6,39,112,0,507,45
499,1512A,2774,1367,1671,2636,2346,15,27,205,0,520,63
500,1512B,1220,506,775,1193,930,3,18,83,0,232,42
501,1513A,1168,1062,1169,2098,758,4,19,113,1,348,58
502,1513B,925,806,851,1654,570,7,20,95,0,208,28
503,16,9626,13491,11191,25078,4550,184,113,616,0,3525,242
504,16-01,1300,899,1242,1848,741,4,26,119,0,670,33
505,16-02,3186,538,1740,1487,2815,16,59,240,1,811,35
506,16-03,764,348,653,907,538,4,22,68,0,215,11
507,16-04,1162,796,1000,1863,689,9,18,60,0,306,13
508,16-05,1085,708,1035,1775,556,12,23,97,1,333,31
509,16-06,769,304,521,831,507,3,3,45,0,202,3
510,16-07,1413,878,1246,2333,712,11,33,91,0,326,31
511,16-09,2006,1023,1701,2223,1507,16,29,174,0,716,65
512,16-10,3343,414,1540,858,3238,9,53,250,1,825,63
513,16-11,2298,335,1128,657,2219,16,39,143,1,631,55
514,16.2,1554,301,1249,2361,186,7,35,97,0,392,26
515,1618,650,819,543,1395,420,1,17,13,0,160,6
516,16A,501,1300,834,2319,46,5,7,16,0,239,3
517,17,9928,11036,10291,20874,5714,304,159,655,1,3293,255
518,17-01,1605,464,995,1169,1099,10,30,177,0,484,95
519,17-02,684,454,647,966,422,2,24,58,0,288,25
520,17-03,3358,1179,2460,3031,2373,23,77,299,0,984,210
521,17-04,3752,1505,2615,3227,2913,12,73,355,0,1143,149
522,17-05,2157,647,1518,1592,1632,6,52,238,0,625,177
523,17-06,1002,686,800,1309,695,10,21,91,1,340,21
524,17-07,2567,335,1247,784,2282,8,45,245,0,688,97
525,17-09,2857,217,1262,488,2857,7,50,174,1,682,77
526,17-10,727,280,447,613,450,1,8,100,0,230,52
527,17-11,2462,655,1874,1482,1802,14,81,406,0,902,304
528,17-12,1913,550,1213,1228,1590,12,43,163,0,525,115
529,17-13,2612,1166,1948,2640,1984,13,66,188,0,740,95
530,17.1,779,159,683,1349,39,4,6,28,0,185,10
531,18,8981,9177,8620,16944,5673,68,153,609,1,3182,148
532,18-01,2376,764,2788,2778,1201,14,98,223,0,1431,183
533,18-02,1255,1784,2126,4279,176,6,27,150,0,421,106
534,18-03,807,679,1042,1934,105,0,9,128,0,243,109
535,18-04,1411,1368,1860,3344,409,11,35,203,1,477,159
536,18-05,1485,1644,2220,4379,139,7,26,204,0,381,213
537,18-06,1812,750,2174,2740,598,15,49,253,0,858,223
538,18-07,947,1336,1482,2963,277,13,20,105,1,327,59
539,18-08,1603,1124,2132,3244,430,10,34,247,1,704,189
540,18.2,1764,1277,2332,4346,156,9,23,124,0,628,87
541,1819,290,465,244,774,130,3,1,5,0,84,2
542,18A,780,300,515,857,388,148,10,61,0,101,30
543,19,11310,12015,11347,22137,6521,1015,168,691,2,3934,204
544,19-03,1049,1117,1354,2503,362,6,21,91,0,497,40
545,19-05,823,1439,1397,2863,236,2,16,96,0,391,55
546,19-07,1582,1634,1817,3125,987,7,29,145,0,673,67
547,19-09,1609,1802,1789,3458,934,13,32,122,0,575,66
548,19-11,1120,1115,1541,2670,410,12,20,115,0,498,51
549,19-12,2355,2357,3064,5208,1072,19,62,256,1,1008,150
550,19-13,948,633,1014,1486,525,7,34,113,0,360,70
551,19-14,1097,1047,1327,2039,612,9,33,163,0,449,166
552,19-15,963,1084,1223,2132,444,10,26,129,0,430,99
553,19-16,1136,841,997,1661,764,9,17,93,0,384,46
554,19-17,2591,1071,2170,2620,1943,16,70,289,1,776,117
555,19-18,1108,1032,1445,2281,570,9,30,147,0,465,83
556,19-19,1869,2461,2820,5230,837,11,33,172,0,771,96
557,19-20,1212,1157,1405,2430,643,9,21,156,0,422,93
558,19-21,2038,1360,2139,2861,1420,10,55,275,0,712,204
559,19.1,697,378,788,1332,169,5,9,40,1,294,13
560,1920,2145,191,758,308,2358,3,27,67,0,325,6
561,19A,778,2084,1342,3207,313,4,7,70,1,587,15
562,1AL A,166,178,137,354,88,2,2,3,0,30,2
563,1GB,237,411,286,788,64,4,5,4,0,66,3
564,1RB,347,614,413,1076,151,2,2,8,0,132,3
565,2,2313,1350,1606,3427,1374,6,17,53,1,365,26
566,20,6730,10762,8994,21222,1887,152,109,332,0,2651,133
567,20-01,1416,1001,1788,2607,587,9,38,228,0,549,187
568,20-03,1324,1321,2053,3567,219,11,26,136,1,602,136
569,20-04,1044,834,1983,2418,146,13,30,271,0,417,566
570,20-05,1204,1358,2023,3477,208,14,23,176,0,483,204
571,20-06A,1825,1305,2420,3669,667,5,43,228,1,710,227
572,20-06B,987,1068,1794,3228,94,6,13,101,0,342,65
573,20-08,1527,1333,2360,3672,342,4,32,248,0,578,344
574,20-09,802,785,1326,2382,127,5,21,86,0,217,75
575,20-10,936,763,1758,2309,111,10,22,225,0,339,441
576,20-11,1609,1491,2627,4089,284,9,27,260,0,751,307
577,20-12,1573,1429,2765,3444,315,37,37,343,0,913,678
578,20-14,1973,1373,3864,3521,347,41,58,608,1,851,1783
579,20-15,1690,814,2454,2167,653,25,33,331,0,970,779
580,20-16,1722,758,2249,2012,799,17,32,311,0,965,593
581,20-17,1355,1023,2486,2749,278,20,35,315,0,599,868
582,20.1,560,116,473,849,111,4,12,24,1,136,12
583,200,955,834,973,1585,537,6,24,154,0,395,61
584,201,7108,2046,4109,4627,6032,28,103,605,2,1729,137
585,202,2617,3173,3872,7287,898,17,55,253,0,1030,122
586,203,5619,792,2677,1688,5507,18,71,521,0,1173,110
587,204,1210,94,454,315,1141,5,18,60,0,213,6
588,204.1,3392,513,1696,1070,3275,12,66,351,0,696,131
589,205,2759,690,1506,1419,2525,12,52,251,0,606,90
590,206,4178,1850,3673,6150,1761,21,106,219,2,1292,150
591,207,3146,2308,3145,5118,1974,24,58,362,1,970,92
592,208,1000,2182,2101,4546,148,1,18,95,0,411,64
593,209,1586,1607,2048,3700,822,13,31,160,1,456,58
594,21,6609,7985,7450,15824,3298,180,110,401,0,2152,79
595,21.1,1294,463,1008,2124,323,5,19,55,0,212,27
596,210,4623,408,1602,827,4752,11,56,240,0,664,83
597,211,6189,1226,3528,2993,5692,24,124,500,0,1443,167
598,212,6895,1200,4173,2769,6269,47,144,672,0,1823,544
599,213,3805,405,1436,787,3810,16,54,267,0,611,101
600,214,2041,551,1240,1388,1796,13,34,147,0,402,52
601,215,1072,1195,1474,2649,408,6,37,129,1,378,133
602,216,1733,1450,1813,3109,869,16,38,264,0,534,166
603,217,1026,836,1158,1970,480,5,14,114,0,388,49
604,218,707,1026,1035,2134,230,8,8,78,0,263,47
605,219,783,1003,906,1795,433,14,13,76,0,293,68
606,22,8855,7389,7566,12772,5382,1794,153,520,1,2979,209
607,22.2,1151,318,886,2105,22,2,10,30,1,171,14
608,220,834,1309,1155,2475,379,3,16,91,0,282,52
609,221,1081,2060,1624,3672,390,15,19,116,0,488,65
610,222,4617,875,2017,1742,4362,15,78,299,1,868,144
611,223.1,3710,1587,2734,3471,3201,15,69,288,0,895,92
612,224,1646,807,1161,1616,1250,5,29,162,1,436,115
613,225,971,760,1059,1929,407,7,17,103,0,266,61
614,226,1285,1211,1628,2801,501,13,15,206,0,487,101
615,227,2066,2283,3016,4911,729,19,26,314,0,958,408
616,228,2501,783,1751,1743,1880,8,46,401,0,760,197
617,229,4866,3335,4623,6866,3361,25,98,606,2,1464,402
618,23,10930,10174,10171,18333,5829,2632,165,611,2,3355,348
619,23.2,226,102,209,472,4,1,1,6,0,47,6
620,23.3,408,158,271,758,12,1,4,7,0,53,2
621,230,5169,1787,3777,3834,3988,57,96,754,1,1430,573
622,231,2177,1342,2099,3096,1124,23,43,382,0,696,254
623,232,1476,1669,2203,3731,503,26,36,259,1,552,240
624,233,1016,1764,1746,3854,116,4,18,95,0,329,110
625,234,1418,1025,1374,2091,852,13,21,236,0,536,68
626,235,1588,982,1267,1897,1166,9,29,183,0,476,77
627,236,1308,2164,1785,3732,654,15,14,147,0,628,67
628,237,2610,500,1607,1132,2454,11,57,295,0,655,113
629,238.1,1499,583,1158,1589,1122,5,24,130,0,304,66
630,239,1996,585,1283,1323,1767,10,36,175,0,432,121
631,24,5656,7460,6062,13747,1975,801,81,395,0,1933,246
632,24.1,957,564,1060,2073,134,3,15,78,1,259,18
633,240,1542,2508,2749,5377,410,6,38,175,0,725,68
634,241,2795,2552,3368,5493,1650,22,57,276,1,986,230
635,242,487,1626,1268,2915,66,9,14,68,0,264,45
636,243,4987,2415,4234,5369,3626,30,92,720,0,1428,371
637,25,4202,5632,5242,10640,1324,998,74,363,2,1544,131
638,25.1,1070,395,1012,1959,150,5,21,58,1,263,20
639,2530,1612,942,781,1610,1344,7,8,105,0,256,5
640,26,3652,5856,4749,10622,1659,30,51,366,0,1438,91
641,26.1,899,236,873,1547,97,5,24,50,0,271,14
642,26A,2089,345,725,713,1442,595,20,186,0,193,10
643,27,5615,7656,6545,14795,2163,26,67,420,1,1995,349
644,27.2,386,90,354,751,4,1,3,14,0,55,2
645,28,6616,8590,7903,15522,3184,729,101,956,0,2373,244
646,28.1,1183,134,1069,1778,85,5,36,53,2,399,28
647,29,7637,8084,7076,15030,4288,299,109,557,1,2341,172
648,29.2,1258,651,1269,2491,183,5,15,59,0,406,19
649,2OT,583,723,655,1617,150,4,3,17,0,163,7
650,2SW,157,148,110,288,89,1,3,4,0,30,0
651,3,1848,1716,1894,3887,974,15,16,56,1,498,11
652,30,7305,7517,7245,13978,3233,1542,106,684,0,2321,203
653,30-1,5234,1321,3498,3696,3804,25,106,342,1,1779,300
654,30-2,4816,617,2158,1657,4406,11,101,230,0,1120,66
655,30.2,877,893,1294,2359,125,5,14,70,2,457,32
656,30.3,852,965,1283,2510,104,4,18,66,0,338,60
657,301,796,34,282,34,913,1,7,29,0,127,1
658,302,928,48,328,80,1043,2,11,36,0,129,3
659,303,663,25,241,25,753,1,6,21,0,123,0
660,304,1658,50,376,51,1841,2,17,25,0,145,3
661,305,1130,45,290,62,1240,3,7,35,0,113,5
662,306,1028,147,525,294,1000,8,17,115,0,262,4
663,31,5461,6991,6246,12845,2739,32,85,410,1,2388,198
664,31.1,377,444,456,1170,4,1,1,13,0,83,5
665,32,4689,6166,6187,12249,1631,24,59,430,1,2323,325
666,32.1,661,651,819,1879,40,4,10,29,0,162,7
667,32A,2114,1021,1304,2006,1380,399,32,302,1,310,9
668,33,6541,5717,7338,10818,3570,356,145,605,4,3403,695
669,33.2,520,348,513,1207,31,2,4,19,0,110,8
670,33.3,707,511,778,1688,82,2,10,27,0,186,1
671,34,3833,5320,4716,9274,1604,1128,61,302,1,1306,193
672,34-1,1964,224,1015,1095,1479,7,37,99,0,418,68
673,34-2,3703,288,1762,1281,3140,10,83,178,0,831,230
674,34.1,487,245,457,1053,15,0,4,13,0,101,3
675,35,2733,2635,2692,4288,897,1795,26,186,0,769,99
676,35.1,809,369,638,1489,119,3,9,19,2,159,16
677,35.3,4679,1201,3676,5098,2267,30,120,344,0,1178,519
678,36,5382,3710,4526,8329,3061,206,85,332,1,1461,143
679,36.1,648,567,799,1746,38,6,7,26,1,182,8
680,37,4019,2828,3866,7704,1278,64,64,313,0,1110,180
681,37.1,392,456,671,1342,3,0,6,20,0,144,4
682,38,7364,4475,6068,10253,4161,271,138,464,4,2262,354
683,38.2,428,686,780,1646,11,0,10,25,1,189,12
684,38.3,879,1159,1347,2908,66,10,14,62,0,304,21
685,39,3940,4662,4215,8892,1299,967,65,220,1,1233,140
686,39.2,507,443,677,1407,19,2,12,34,0,149,4
687,39.3,804,821,1102,2392,22,3,9,38,0,256,7
688,3BY,607,370,305,702,458,3,4,9,0,103,3
689,4,419,203,206,442,323,2,2,8,0,50,1
690,40,4934,4183,4532,8807,2827,56,114,320,0,1417,108
691,40.2,1038,1392,1460,3451,31,4,9,51,2,334,8
692,401,1375,111,503,196,1475,3,17,56,0,238,4
693,402,1107,42,328,64,1235,6,14,31,0,126,1
694,403,1482,116,497,260,1514,9,25,35,1,243,8
695,404,1787,282,969,968,1438,8,29,64,0,493,38
696,405,1697,38,739,80,1617,6,46,49,0,671,5
697,41,4898,4697,4631,8569,3050,670,80,264,0,1524,69
698,41.1,874,1113,1245,2824,35,6,14,61,0,284,8
699,42,3884,3596,3447,6042,3166,23,73,147,0,1415,61
700,42.1,791,539,922,1662,149,4,18,95,0,316,8
701,43,4679,2704,4006,8229,1224,30,94,260,0,1266,286
702,43.2,640,376,778,1323,147,1,16,76,0,221,10
703,44,5134,7193,5659,13392,2285,31,74,290,0,1721,193
704,44.1,1876,1576,2244,4709,139,6,29,116,1,643,53
705,45,4507,3019,3889,7353,2309,26,70,265,1,1252,139
706,45.1,1324,1166,1629,3436,124,6,23,76,0,442,12
707,46,3597,3968,3630,7339,2037,21,93,265,1,1369,70
708,46.1,521,412,564,1264,30,3,3,23,0,164,10
709,47,1440,69,412,162,1417,4,20,40,0,253,25
710,47.1,1065,1531,1719,3783,31,6,7,54,0,426,8
711,48,1387,1545,1433,3224,627,6,23,62,0,384,39
712,48.1,1187,1317,1455,3340,93,7,25,86,2,389,17
713,49.1,1057,1545,1665,3654,72,12,15,66,0,440,8
714,4HB,27,100,56,172,0,0,0,0,0,11,0
715,4MSIC,90,46,35,89,69,0,1,1,0,10,1
716,4N,477,497,493,1050,307,3,4,15,0,88,0
717,4S,547,210,225,481,409,3,5,4,0,80,0
718,4VM A,101,56,38,98,78,0,1,0,0,18,0
719,5,750,606,585,1425,362,3,6,15,0,127,3
720,50,2685,2553,2628,5651,872,23,73,157,1,907,182
721,50.1,522,452,570,1356,5,1,3,19,3,154,3
722,501,1568,101,474,247,1582,7,10,67,1,226,3
723,502,1080,73,384,122,1128,3,6,84,1,191,2
724,503,964,144,532,658,613,3,25,64,0,263,14
725,504,840,127,452,302,771,4,8,81,0,248,5
726,505,1233,274,650,561,1147,2,21,115,0,305,6
727,506,775,354,578,793,548,5,7,87,0,253,14
728,507,2459,1191,1678,2198,2063,7,44,266,0,700,50
729,51,2946,591,2282,3678,961,24,67,159,0,675,255
730,51.2,656,602,801,1833,17,2,4,18,0,180,5
731,52,3132,2446,2199,4267,2395,14,65,165,0,837,34
732,52.1,1019,1499,1535,3493,46,10,18,60,1,394,31
733,53-1,1592,424,1408,1940,631,6,40,110,1,532,164
734,53-2,2250,598,2083,3173,451,6,47,107,1,941,205
735,53.1,836,1127,1235,2777,47,6,13,43,0,301,11
736,54,4670,1789,3584,4970,2747,23,101,276,0,1650,276
737,54.2,1353,998,1739,2757,491,10,30,144,1,613,44
738,55-11,1372,43,427,130,1446,2,31,33,1,192,7
739,55-49,1303,9,1032,32,1432,6,48,22,1,799,4
740,55.1,982,955,1268,2610,161,5,15,60,1,323,30
741,56,134,764,382,1125,4,4,1,10,0,135,1
742,56.2,750,539,864,1831,78,4,7,42,0,178,13
743,57.1,822,926,1169,2436,93,3,12,70,0,276,27
744,58,550,1725,1045,2849,119,4,4,17,0,324,3
745,58.1,716,579,920,1961,24,2,7,29,0,185,7
746,59.1,1363,1063,1524,3534,51,8,11,51,0,278,17
747,5AP,606,869,620,1660,229,8,2,16,0,171,9
748,6,652,854,696,1636,379,1,1,15,0,167,3
749,60,1149,1823,1362,2852,610,14,25,133,0,667,33
750,60.2,510,277,640,1154,50,0,10,29,0,178,6
751,60.4,555,375,589,1327,18,0,3,30,0,133,8
